Name;Ca;Mg;F
Vittel no CO2;84,9 mg/l;122 mg/l;0,1 mg/l
Nestle Pure Life no CO2;27,5 mg/l;3,4 mg/l;0,3 mg/l
Evian no CO2;87,2 mg/l;23,1 mg/l;0,08 mg/l
Cristaline no CO2;122 mg/l;3,9 mg/l;0,8 mg/l
Bonaqua no CO2;22,6 mg/l;19,1 mg/l;0,1 mg/l
Aqua Minerale no CO2;1 mg/l;0,9 mg/l;0,7 mg/l
Aparan no CO2;25,6 mg/l;5,1 mg/l;0,6 mg/l
Morshynska no CO2;1 mg/l;0.8 mg/l;0,4 mg/l
Myrgorodska no CO2;32,9 mg/l;8,4 mg/l;0,07 mg/l
Truskavetska no CO2;20,8 mg/l;16,3 mg/l;0,1 mg/l
Buvet no CO2;25 mg/l;5 mg/l;0,06 mg/l
Esenthuki no CO2;52,8 mg/l;14,8 mg/l;0,7 mg/l
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
